,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
RW,HI002,Hawaii Fire Department,S. Kohala Fire Station,HI,Kamuela,96743,Helipad,1,,,
RW,HI004,Hawaii Life Flight,Hilo Airport,HI,Hilo,96720,Airport,,2,Y,
RW,HI004,Hawaii Life Flight,Honolulu International Airport,HI,Honolulu,96820,Airport,,2,Y,
RW,HI004,Hawaii Life Flight,Waimea-Kohala Airport,HI,Kamuela,96743,Airport,,1,Y,
RW,HI004,Hawaii Life Flight,Molokai Airport,HI,Kaunakakai,96729,Airport,,1,Y,
RW,HI004,Hawaii Life Flight,Kona Airport,HI,Kona,96740,Airport,1,1,N,
RW,HI004,Hawaii Life Flight,Lihue Airport,HI,Lihue,96766,Airport,,1,Y,
RW,WV002,HealthNet Aeromedical Services,7 - Big Sandy Airport (SHARED),KY,Debord,41214,Airport,1#,,N,
RW,WV002,HealthNet Aeromedical Services,4 - Greater Portsmouth Regional Airport,OH,Portsmouth,45662,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,5 - Raleigh County Airport,WV,Beaver,25813,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,6 - Buckhannon Upshur Airport,WV,Buckhannon,26201,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,3 - Cabell Huntington Hospital,WV,Huntington,25701,Hospital,1,,,
RW,WV002,HealthNet Aeromedical Services,9 - Greenbrier Valley Airport,WV,Lewisburg,24901,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,8 - Eastern WV Regional Airport,WV,Martinsburg,25405,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,10 - Marshall County Airport,WV,Moundsville,26041,Airport,1,,Y,
RW,WV002,HealthNet Aeromedical Services,2 - Jackson General Hospital,WV,Ripley,25271,Hospital,1,,,
RW,WV002,HealthNet Aeromedical Services,1 - Morgantown,WV,Westover,26501,Helipad,3*,,,
RW,MT001,HELP Flight,Billings Logan International Airport,MT,Billings,59105,Airport,,1,Y,
RW,MT001,HELP Flight,St. Vincent Healthcare,MT,Billings,59101,Hospital,1,,,
RW,TX009,Hermann Life Flight,Baytown Airport,TX,Bay Town,77521,Airport,1,,N,
RW,TX009,Hermann Life Flight,Pearland Regional Airport,TX,Friendswood,77546,Airport,1,,Y,
RW,TX009,Hermann Life Flight,Memorial Hermann Texas Medical Center,TX,Houston,77030,Hospital,1,,,Y
RW,TX009,Hermann Life Flight,Memorial Hermann Katy Hospital,TX,Katy,77494,Hospital,1,,,
RW,TX009,Hermann Life Flight,David Wayne Hooks Airport,TX,Spring,77379,Airport,1,,Y,
RW,TX009,Hermann Life Flight,Memorial Hermann Sugar Land Hosp.,TX,Sugar Land,77479,Hospital,1,,,
RW,TN003,Hospital Wing,Jonesboro Municipal Airport,AR,Jonesboro,72364,Airport,1,,Y,
RW,TN003,Hospital Wing,Oxford Base,MS,Oxford,38655,Helipad,2,,,
RW,TN003,Hospital Wing,Hospital Wing Brownsville Base,TN,Brownsville,38012,Helipad,3,,,
RW,TN003,Hospital Wing,Memphis Medical Center,TN,Memphis,38104,Helipad,4,,,
RW,TN003,Hospital Wing,Sibley Airport,TN,Selmer,38375,Airport,1,,Y,
RW,IL012,HSHS Rescue Flight,HSHS St. Joseph’s Hospital,IL,Highland,62249,Hospital,1,,,
RW,UT002,Intermountain Life Flight (Utah),McKay-Dee Hospital,UT,Ogden,84409,Hospital,1,,,
RW,UT002,Intermountain Life Flight (Utah),Utah Valley Regional Medical Center,UT,Provo,84604,Hospital,1,,,
RW,UT002,Intermountain Life Flight (Utah),Uintah Basin Medical Center,UT,Roosevelt,84066,Hospital,1,,,
RW,UT002,Intermountain Life Flight (Utah),Intermountain Medical Center,UT,Salt Lake City,84157,Hospital,1,,,Y
RW,UT002,Intermountain Life Flight (Utah),Salt Lake City International Airport,UT,Salt Lake City,84116,Airport,1,2,N,
RW,UT002,Intermountain Life Flight (Utah),Dixie Regional Medical Center,UT,St. George,84790,Hospital,1,,,
RW,UT002,Intermountain Life Flight (Utah),St. George Airport,UT,St. George,84770,Airport,,1,Y,
FW,WA005,Island Air Ambulance,Friday Harbor Airport,WA,Friday Harbor ,98250,Airport,,3,Y,
RW,IN002,IU Health LifeLine,Columbus Regional Hospital,IN,Columbus,47201,Hospital,1*,,,
RW,IN002,IU Health LifeLine,Indianapolis Downtown Heliport,IN,Indianapolis,46204,Helipad,2,,,
RW,IN002,IU Health LifeLine,Purdue University Airport,IN,Lafayette,47907,Airport,1,,Y,
RW,IN002,IU Health LifeLine,New Castle-Henry County Municipal Airport,IN,New Castle,47362,Airport,1,,Y,
RW,IN002,IU Health LifeLine,Terre Haute International Airport-Hulman Field,IN,Terre Haute,47803,Airport,1,,Y,
RW,PA003,JEFFSTAT,Kennedy University Hospital,NJ,Turnersville,8012,Helipad,1,,,
RW,PA003,JEFFSTAT,JeffSTAT 3 - Brandywine Hospital,PA,Coatesville,19320,Hospital,1,,,
RW,PA003,JEFFSTAT,JeffSTAT 2 - Lansdale Abington Hospital,PA,Lansdale,19446,Hospital,1,,,
FW,IL001,"Jet Air, Inc.",Southeast Iowa Regional Airport,IA,Burlington,52601,Airport,,1,Y,
FW,IL001,"Jet Air, Inc.",Iowa City Airport,IA,Iowa City,52246,Airport,,1,N,
FW,IL001,"Jet Air, Inc.",Galesburg Regional Airport,IL,Galesburg,61401,Airport,,2,Y,
RW,KY007,Just for Kids Transport Team,Clark Regional Airport,IN,Sellersburg,47172,Airport,,1,N,
RW,KY007,Just for Kids Transport Team,Norton Children's Hospital,KY,Louisville,40402,Hospital,1,,,
FW,TX014,Kangaroo Crew (Texas Children's Hospital),William P. Hobby Airport,TX,Houston,77061,Airport,,1,Y,
RW,PA002,Lehigh Valley Hospital MedEvac,Stroudsburg-Pocono Airport (MedEvac 2),PA,East Stroudsburg,18301,Airport,1,,N,
RW,PA002,Lehigh Valley Hospital MedEvac,Kutztown Airport (MedEvac 1),PA,Kutztown,19530,Airport,1,,N,
RW,PA002,Lehigh Valley Hospital MedEvac,Mazzuca Heliport (MedEvac 7),PA,Pottsville,17901,Helipad,1,,,
RW,PA002,Lehigh Valley Hospital MedEvac,Hazleton Hospital (MedEvac 4),PA,Hazleton,18201,Hospital,1,,,
RW,IA002,Life Flight (Des Moines),LF1 Iowa Methodist Medical Center Helipad,IA,Des Moines,50309,Hospital,1,,,Y
RW,IA002,Life Flight (Des Moines),LF2 Trinity Regional Medical Center Helipad,IA,Fort Dodge,50501,Hospital,1,,,
RW,PA005,Life Flight (Geisinger),Wilkes-Barre/Scranton Airport - Life Flight III,PA,Avoca,18641,Airport,1,,Y,
RW,PA005,Life Flight (Geisinger),Jake Arner Memorial Airport - Life Flight VI,PA,Lehighton,18235,Airport,1,,Y,
RW,PA005,Life Flight (Geisinger),Williamsport Airport - Life Flight IV,PA,Montoursville,17754,Airport,1,,Y,
RW,PA005,Life Flight (Geisinger),Minersville - Life Flight V,PA,Pottsville,17901,Helipad,1,,,
RW,PA005,Life Flight (Geisinger),University Park Airport -Life Flight II,PA,State College,16803,Airport,2,,Y,
RW,PA005,Life Flight (Geisinger),Geisinger Medical Center - Life Flight I,PA,Danville,17822,Hospital,3*,,,Y
RW,FL012,Life Flight (Jacksonville),Baptist Medical Center South Helipad,FL,Jacksonville,32207,Hospital,1,,,
RW,OH003,Life Flight (Toledo),Bluffton Airport - LF3,OH,Bluffton,45817,Airport,1,,Y,
RW,OH003,Life Flight (Toledo),Sandusky County Airport - LF4,OH,Clyde,43410,Airport,1,,N,
RW,OH003,Life Flight (Toledo),Mercy St. Vincent Med. Center - LF1,OH,Toledo,43608,Hospital,2,,,Y
RW,OH003,Life Flight (Toledo),Fulton County Airport - LF2,OH,Wauseon,43567,Airport,2,,Y,
RW,OR002,Life Flight Network,Boise Airport,ID,Boise,83709,Airport,1,1,N,
RW,OR002,Life Flight Network,Burley Municipal Airport,ID,Burley,83318,Airport,1,,Y,
RW,OR002,Life Flight Network,Lewiston Airport,ID,Lewiston,83501,Airport,2,,Y,
RW,OR002,Life Flight Network,Rexburg-Madison County Airport,ID,Rexburg,83440,Airport,1,,Y,
RW,OR002,Life Flight Network,Sandpoint Airport,ID,Sandpoint,83864,Airport,1,,Y,
RW,OR002,Life Flight Network,Bozeman Yellowstone International Airport,MT,Belgrade,59714,Airport,2,,N,
RW,OR002,Life Flight Network,Bert Mooney Airport,MT,Butte,59701,Airport,1,1,Y,
RW,OR002,Life Flight Network,Missoula International Airport,MT,Missoula,59808,Airport,1,,Y,
RW,OR002,Life Flight Network,Aurora Airport,OR,Aurora,97002,Airport,4,1,Y,
RW,OR002,Life Flight Network,PeaceHealth Cottage Grove Community Medical Center,OR,Cottage Grove,97424,Airport,1,,,
RW,OR002,Life Flight Network,La Grande Airport,OR,La Grande,97850,Airport,1,1,Y,
RW,OR002,Life Flight Network,Newport Municipal Airport,OR,Newport,97366,Airport,1,,Y,
RW,OR002,Life Flight Network,Ontario Airport,OR,Ontario,97914,Airport,1,,Y,
RW,OR002,Life Flight Network,Eastern Oregon Regional Airport,OR,Pendleton,97801,Airport,1,,Y,
RW,OR002,Life Flight Network,Redmond Airport,OR,Redmond,97756,Airport,1,1,Y,
RW,OR002,Life Flight Network,Warrenton-Astoria Regional Airport,OR,Warrenton,97146,Airport,1,,Y,
RW,OR002,Life Flight Network,Anderson Field Airport,WA,Brewster,98812,Airport,1,,Y,
RW,OR002,Life Flight Network,Columbia Gorge Regional Airport,WA,Dallesport,98617,Airport,1,1,N,
RW,OR002,Life Flight Network,Southwest Washington Regional Airport,WA,Kelso,98626,Airport,2,,Y,
RW,OR002,Life Flight Network,Grant County Intl Airport,WA,Moses Lake,98837,Airport,,1,Y,
RW,OR002,Life Flight Network,Grant County Fire District 5,WA,Moses Lake,98837,Helipad,1,,,
RW,OR002,Life Flight Network,Port Angeles,WA,Port Angeles,98363,Airport,1,,Y,
RW,OR002,Life Flight Network,Pullman/Moscow Regional Airport,WA,Pullman,99163,Airport,1,,Y,
RW,OR002,Life Flight Network,Richland Airport,WA,Richland,99352,Airport,1,1,Y,
RW,OR002,Life Flight Network,Felts Field Airport,WA,Spokane,99212,Airport,1,1,Y,
RW,MN002,Life Link III,Chandler Field Airport,MN,Alexandria,56308,Airport,1,,Y,
RW,MN002,Life Link III,Anoka County-Blaine Airport (Janes Field),MN,Blaine,55449,Airport,3,1,Y,
RW,MN002,Life Link III,Brainerd Lakes Regional Airport,MN,Brainerd,56401,Airport,1,,Y,
RW,MN002,Life Link III,Cloquet Carton County Airport,MN,Cloquet,55720,Airport,1,,Y,
RW,MN002,Life Link III,Chisholm Hibbing Airport,MN,Hibbing,55746,Airport,1,,Y,
RW,MN002,Life Link III,Willmar Municipal Airport,MN,Willmar,56201,Airport,1,,Y,
RW,MN002,Life Link III,Marshfield Medical Center,WI,Marshfield,54449,Hospital,1,,,
RW,MN002,Life Link III,Rice Lake Regional Airport,WI,Rice Lake,54822,Airport,1,,Y,
RW,PA006,Life Lion Critical Care Transport,Carlisle Airport,PA,Carlisle,17013,Airport,2,,N,
RW,PA006,Life Lion Critical Care Transport,M.S. Hershey Medical Center,PA,Hershey,17033,Hospital,2,,,Y
RW,CT001,LIFE STAR (Connecticut),MidState Medical Center,CT,Meriden,6451,Hospital,1,,,
RW,CT001,LIFE STAR (Connecticut),William W. Backus Hospital Helipad,CT,Norwich,6360,Hospital,1,,,
RW,KS004,Life Star of Kansas+,Freeman Field Airport,KS,Junction City,66441,Airport,1,,Y,
RW,KS004,Life Star of Kansas+,Lawrence Municipal Airport,KS,Lawrence,66044,Airport,2#,,Y,
RW,CT001,"LIFE STAR
(Connecticut)",Barnes Municipal Airport,MA,Westfield,1085,Airport,2*,,Y,
RW,VA007,LifeEvac - Virginia,(LE 3) Middle Peninsula Regional Airport,VA,Mattaponi,23110,Airport,1,,Y,
RW,VA007,LifeEvac - Virginia,(LE 1) Dinwiddie County Airport,VA,Petersburg,23803,Airport,1,,Y,
RW,PA004,LifeFlight (Allegheny General Hospital),Canonsburg Hospital,PA,Canonsburg,15317,Hospital,1,,,
RW,PA004,LifeFlight (Allegheny General Hospital),Rostraver Airport,PA,Belle Vernon,15012,Airport,1,,Y,
RW,PA004,LifeFlight (Allegheny General Hospital),Butler County Airport,PA,Butler,16002,Airport,2*,,Y,
RW,PA004,LifeFlight (Allegheny General Hospital),Clarion Hospital,PA,Clarion,,,1,,,
RW,PA004,LifeFlight (Allegheny General Hospital),Indiana HospitalHelipad,PA,Indiana,15701,Hospital,1,,,
RW,FL010,LifeFlight (Miami Children's) #,OpaLocka Airport,FL,OpaLocka,33054,Airport,3+,,N,
RW,SC001,LifeFlight (South Carolina),AnMed Hospital,SC,Anderson,29621,Hospital,1,,,
RW,MO009,Lifeflight Eagle,Chillicothe Municipal Airport,MO,Chillicothe,64601,Airport,1,,Y,
RW,MO009,Lifeflight Eagle,Golden Valley Memorial Hospital,MO,Clinton,64735,Hospital,1,,,
RW,MO009,Lifeflight Eagle,Lawrence Smith Memorial Airport,MO,Harrisonville,64701,Airport,1,,Y,
RW,MO009,Lifeflight Eagle,Children's Mercy Hospital#,MO,Kansas City,64108,Hospital,0#,,,Y
RW,MO009,Lifeflight Eagle,Lafayette County Base,MO,Odessa,64076,Helipad,1,,,
RW,ME001,LifeFlight of Maine,Bangor International Airport,ME,Bangor,4401,Airport,,1,Y,
RW,ME001,LifeFlight of Maine,Eastern Maine Medical Center (Bangor),ME,Bangor,4401,Hospital,1,,,
RW,ME001,LifeFlight of Maine,Central Maine Medical Center (Lewiston),ME,Lewiston,4240,Hospital,1,,,
RW,ME001,LifeFlight of Maine,Maine Medical Center,ME,Portland,4102,Hospital,1,,,
RW,ME001,LifeFlight of Maine,Sanford Seacoast Regional Airport,ME,Sanford,4073,Airport,1,,Y,
RW,MI011,LifeFlight of Michigan,Oakland Troy Airport,MI,Troy,48084,Airport,1,,Y,
RW,IA003,Lifeguard Air Ambulance,UnityPoint / St. Luke's Hospital Helipad,IA,Cedar Rapids,52402,Hospital,1,,,
RW,NM005,Lifeguard Air Emergency Services,Albuquerque International Airport,NM,Albuquerque,87106,Airport,1,3,N,
RW,NC011,LifeLINK Air,Betsy Johnson Hospital,NC,Dunn,28334,Hospital,1,,,
RW,NC011,LifeLINK Air,Scotland Memorial Hospital,NC,Laurinburg,28352,Hospital,1,,,
RW,AK001,LifeMed Alaska,Ted Stevens Anchorage Int’l Airport,AK,Anchorage,99502,Airport,,4,Y,
RW,AK001,LifeMed Alaska,Bethel Airport,AK,Bethel,99559,Airport,,1,Y,
RW,AK001,LifeMed Alaska,Dutch Harbor,AK,Dutch Harbor,99692,Airport,,3,N,
RW,AK001,LifeMed Alaska,Fairbanks International Airport,AK,Fairbanks,99706,Airport,,1,Y,
RW,AK001,LifeMed Alaska,Juneau International Airport,AK,Juneau,99801,Airport,,2,Y,
RW,AK001,LifeMed Alaska,Wolf Lake Airport,AK,Palmer,99654,Airport,1,,N,
RW,AK001,LifeMed Alaska,Central Peninsula Hospital,AK,Soldotna,99669,Hospital,1,,,
RW,AZ008,LifeNet Arizona,LifeNet 01 Florence Anthem Hospital,AZ,Florence,85132,Hospital,1,,,
RW,AZ008,LifeNet Arizona,LifeNet 06 Rio Rico,AZ,Rio Rico,85616,Helipad,1,,,
RW,AZ008,LifeNet Arizona,LifeNet 10 Graham Community Hospital,AZ,Safford,85546,Hospital,1,,,
RW,KS002,LifeNet Heartlands,Main Office,KS,Lenexa,66220,Office,,,,
RW,KS002,LifeNet Heartlands,Crete Area Medical Center Helipad,NE,Crete,68333,Airport,1,,,
RW,KS002,LifeNet Heartlands,Fremont Area Medical Center,NE,Fremont,68025,Hospital,1,,,
RW,KS002,LifeNet Heartlands,Faith Regional Medical Center Helipad,NE,Norfolk,68701,Hospital,1,,,
RW,KS002,LifeNet Heartlands,Great Plains Health LifeNet,NE,North Platte,69101,Hospital,1,1,,
RW,KS002,LifeNet Heartlands,University of Nebraska Medical Center,NE,Omaha,68198,Hospital,1,,,Y
RW,MI007,LifeNet of Michigan,Covenant Medical Center Cooper,MI,Saginaw,48602,Hospital,1,,,
RW,NY002,LifeNet of New York,Watertown Airport,NY,Dexter,13634,Airport,1,,Y,
RW,NY002,LifeNet of New York,Fultonville Helipad,NY,Fultonville,12072,Helipad,1,,,
RW,NY002,LifeNet of New York,Catskill Regional Medical Center,NY,Harris,12742,Hospital,1,,,
RW,NY002,LifeNet of New York,Hornell Airport,NY,Hornell,14843,Airport,1,,Y,
RW,NY002,LifeNet of New York,Potsdam Municipal Airport / Damon Field,NY,Potsdam,13676,Airport,,1,Y,
RW,NY002,LifeNet of New York,Seneca Falls (Finger Lakes) Regional Airport,NY,Seneca Falls,13148,Airport,1,,Y,
RW,NY002,LifeNet of New York,Sidney Airport,NY,Sidney,13733,Airport,1,,Y,
RW,NY002,LifeNet of New York,South Albany Airport,NY,South Bethlehem,12158,Airport,1,,Y,
RW,NY002,LifeNet of New York,Ticonderoga,NY,Ticonderoga,12883,Helipad,1,,,
RW,NY002,LifeNet of New York,Kobelt Airport,NY,Wallkill,12589,Airport,1,,Y,
RW,SC002,LifeNet South Carolina,LN 2-Camden Airport (Woodward Field),SC,Camden,29020,Airport,1,,Y,
RW,SC002,LifeNet South Carolina,LN 6-Conway-Horry County Airport,SC,Conway,29527,Airport,1,,Y,
RW,SC002,LifeNet South Carolina,LN 3-The Regional Medical Center,SC,Orangeburg,29118,Hospital,1,,,
RW,TX010,"LifeNet, Inc.",Memorial Field Airport,AR,Hot Springs,71913,Airport,1,,N,
RW,TX010,"LifeNet, Inc.",Texarkana Regional Airport,AR,Texarkana,71854,Airport,1,,Y,
RW,KS003,LifeSave Transport,LifeTeam 30 - Hilo Intl Airport,HI,Hilo,96720,Airport,,1,N,
RW,KS003,LifeSave Transport,LifeSave 32 - Daniel K Inouye Intl Airport,HI,Honolulu,96819,Airport,,1,N,
RW,KS003,LifeSave Transport,LifeTeam 31 - Kahului Airport,HI,Maui,96732,Airport,,1,N,
RW,KS003,LifeSave Transport,LifeSave 25 - Citizens Medical Center,KS,Colby,67701,Hospital,1,,,
RW,KS003,LifeSave Transport,LifeSave 22 - Western Plains Medical Complex,KS,Dodge City,67801,Hospital,1,,,
RW,KS003,LifeSave Transport,LifeSave 21 - Newman Reg Health,KS,Emporia,66801,Hospital,1,,,
RW,KS003,LifeSave Transport,LifeSave 14 - Garden City Reg Airport,KS,Garden City,67846,Airport,,1#,Y,
RW,KS003,LifeSave Transport,LifeSave 24 - Garden City St. Catherine's Hospital,KS,Garden City,67846,Hospital,1,,,
RW,KS003,LifeSave Transport,LifeSave 10 - Liberal Mid-America Reg Airport,KS,Liberal,67905,Airport,,1,N,
RW,KS003,LifeSave Transport,LifeSave 26 - Salina Regional Airport,KS,Salina,67401,Airport,2,,Y,
RW,KS003,LifeSave Transport,LifeSave 12 - Mc Cook Ben Nelson Reg Airport,NE,McCook,69001,Airport,,1,Y,
RW,GA003,Lifestar Air Methods,Lifestar Springfield Helipad,GA,Springfield,31329,Helipad,1,,,
RW,CA034,Los Angeles City Fire Department,LA City Fire Air Ops Facility,CA,Van Nuys,91406,Airport,6,,N,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Fire Camp 2,CA,La Canada Flintridge,91011,Helipad,1,,,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Fire Station 129,CA,Lancaster,93534,Helipad,2,,,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Brackett-LaVerne Airport,CA,LaVerne,91750,Helipad,2,,,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Fire Camp 8,CA,Malibu,90265,Helipad,1,,,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Barton Heliport,CA,Pacoima,91331,Helipad,1,,,
RW,CA027,Los Angeles County Fire Dept. Air Operations,Fire Camp 9,CA,Santa Clarita,91387,Helipad,1,,,
RW,CA002,Los Angeles County Sheriff Air Rescue 5,Barley Flats,CA,Angeles Natl. Forest,--,Helipad,1*,,,
RW,CA002,Los Angeles County Sheriff Air Rescue 6,Sheriff Biscailuz Center,CA,Los Angeles,90063,Helipad,1*,,,
RW,CA002,Los Angeles County Sheriff Air Rescue 7,Brackett Field Airport,CA,La Verne,91750,Airport,0,,Y,
RW,CA002,Los Angeles County Sheriff Air Rescue 8,Long Beach Airport,CA,Long Beach,90808,Airport,1,,Y,
RW,IN004,Lutheran Air,Starke County Airport,IN,Knox,46534,Airport,1,,Y,
RW,IN004,Lutheran Air,Portland Municipal Airport,IN,Portland,47371,Airport,1,,Y,
RW,IN004,Lutheran Air,Wabash Airport,IN,Wabash,46992,Airport,1,,Y,
RW,FL018,Martin County Fire Rescue - LifeStar,Witham Field,FL,Stuart,34996,Airport,1,,Y,
RW,MD001,Maryland State Police MedEvac,Trooper 1 - Martin State Airport,MD,Baltimore,21220,Airport,4,,Y,
RW,MD001,Maryland State Police MedEvac,Trooper 7 - St. Mary's Airport,MD,California,20619,Airport,1,,N,
RW,MD001,Maryland State Police MedEvac,Trooper 6 – Easton Airport,MD,Easton,21601,Helipad,1,,,
RW,MD001,Maryland State Police MedEvac,Trooper 2 - Andrews Air Force Base,MD,Forestville,20747,Airport,1,,N,
RW,MD001,Maryland State Police MedEvac,Trooper 3 - Frederick Municipal Airport,MD,Frederick,21701,Airport,1,,Y,
RW,MD001,Maryland State Police MedEvac,Trooper 4 - Salisbury Airport,MD,Salisbury,21804,Airport,1,,Y,
RW,MD001,Maryland State Police MedEvac,Trooper 5 -  Greater Cumberland Regional Airport*,MD,Wiley Ford,26767,Airport,1,,Y,
RW,MD001,Maryland State Police MedEvac,Trooper 5 - Greater Cumberland Regional Airport,WV,Wiley Ford,26767,Airport,0#,,N,
RW,MN001,Mayo Clinic Medical Transport,Mankato Regional Airport,MN,Mankato,56001,Airport,1,,Y,
RW,MN001,Mayo Clinic Medical Transport,Mayo Clinic Hospital - St. Mary's Campus,MN,Rochester,55902,Hospital,2*,,,Y
RW,MN001,Mayo Clinic Medical Transport,Rochester International Airport,MN,Rochester,55902,Airport,,1,Y,
RW,MN001,Mayo Clinic Medical Transport,Chippewa Valley Regional Airport,WI,Eau Claire,54703,Airport,1,,Y,
RW,OK005,McAlester Regional Air Care,McAlester Regional Health Center,OK,McAlester,74501,Hospital,1,,,
RW,CO002,Med Evac,Colorado Plains Regional Airport,CO,Akron,80720,Airport,1,,Y,
RW,CO002,Med Evac,Boulder Comm Hosp Foothills,CO,Boulder,80303,Hospital,1,,,
RW,CO002,Med Evac,North Colorado Medical Center,CO,Greeley,80631,Hospital,1,,,Y
RW,NC005,MedCenter Air,Charlotte/Douglas International Airport,NC,Charlotte,28208,Airport,1,4,Y,
RW,NC005,MedCenter Air,Concord Airport,NC,Concord,28027,Airport,1,,Y,
RW,NC005,MedCenter Air,"Blueridge Base, Hickory Airport",NC,Hickory,28601,Airport,1,,Y,
RW,NC005,MedCenter Air,Rock Hill Airport / Bryant Field,SC,Rock Hill,29732,Airport,1,,Y,
FW,MT005,MedFlight (Billings),Billings Logan International Airport,MT,Billings,59105,Airport,,2,N,
RW,FL007,MedFlight (Collier County EMS),Naples Municipal Airport,FL,Naples,34104,Airport,1,,Y,
RW,AR002,MedFlight (Little Rock),Baptist Health Medical Center (MedFlight Heliport),AR,Little Rock,72205,Hospital,1,,,
RW,OH004,MedFlight of Ohio,MedFlight 1 – Ross County,OH,Chillicothe,45601,Helipad,2*,,,
RW,OH004,MedFlight of Ohio,MedFlight 4 - Richard Downing Airport,OH,Coshocton,43812,Airport,1,,Y,
RW,OH004,MedFlight of Ohio,MedFlight 8 - Preble County Medical Center,OH,Eaton,45320,Hospital,1,,,
RW,OH004,MedFlight of Ohio,MedFlight 5 – Galion Helipad,OH,Galion,44833,Helipad,2,,,
RW,OH004,MedFlight of Ohio,MedFlight 9 - Jeffersonville,OH,Jeffersonville,43128,Helipad,1,,,
RW,OH004,MedFlight of Ohio,MedFlight 2 - Allen Center Base,OH,Marysville,43040,Helipad,1,,,
RW,OH004,MedFlight of Ohio,MedFlight 6 - Morgan County Airport,OH,McConnelsville,43756,Airport,1,,N,
RW,OH004,MedFlight of Ohio,MedFlight 3 - Pomeroy Base,OH,Pomeroy,45769,Helipad,1,,,
RW,IL002,MedForce Aeromedical,Great River Medical Center,IA,West Burlington,52655,Hospital,1,,,
RW,IL002,MedForce Aeromedical,Henry County Emer. Services Cntr,IL,Colona,61241,Helipad,2*,,,
RW,OK002,Medi Flight Oklahoma,OU Medical Center,OK,Oklahoma City,73126,Hospital,1,,,Y
RW,OK002,Medi Flight Oklahoma,Seminole Municipal Airport,OK,Seminole,74868,Airport,1,,Y,
RW,SD005,Medical Air Rescue Company (MARC),"Rapid City, SD",SD,Rapid City,57703,Airport,,4,N,
RW,SD005,Medical Air Rescue Company (MARC),Mckinney National,TX,Bridgeport,76426,Airport,1,,Y,
RW,SD005,Medical Air Rescue Company (MARC),"Laramie, WY",WY,Laramie,82070,Airport,,1,Y,
RW,SD005,Medical Air Rescue Company (MARC),"Sheridan, WY",WY,Sheridan,82801,Hospital,1,,,
RW,DC001,MedSTAR Transport,Washington Hospital Center,DC,Washington,20010,Office,,,,
RW,DC001,MedSTAR Transport,MedStar 3 - St. Mary's County Regional Airport,MD,California,20619,Airport,1,,Y,
RW,DC001,MedSTAR Transport,MedStar 1 -Tipton Airport,MD,Fort Meade,20755,Airport,2#,,Y,
RW,DC001,MedSTAR Transport,MedStar 2 – Maryland Airport,MD,Indian Head,20640,Airport,1,,Y,
RW,SC007,Meducare Air,Signature Aviation (CHS),SC,North Charleston,29406,Airport,1,,N,
FW,GA008,Medway Air Ambulance,Gwinnett County Airport,GA,Lawrenceville,30045,Airport,,8,N,
RW,NV004,"MedX AirOne, LLC",Elko Regional Airport,NV,Elko,89801,Airport,,2,N,
RW,NV004,"MedX AirOne, LLC",Northeastern Nevada Regional Hospital,NV,Elko,89801,Hospital,1,,,
RW,NV004,"MedX AirOne, LLC",WBRH AIRONE,NV,Ely,89301,Airport,,1,,
RW,NV004,"MedX AirOne, LLC",Humboldt General Hospital,NV,Winnemucca,89445,Hospital,2,,,
RW,IN006,Memorial Medflight,South Bend Regional Airport,IN,South Bend,46628,Airport,1,,Y,
RW,IA005,Mercy Air Med (N. Iowa),MercyOne North Iowa Medical Center,IA,Mason City,50401,Hospital,1,,,
RW,CA011,Mercy Air Service,Air 66 - Barstow Community Hospital,CA,Barstow,92311,Hospital,1,,,
RW,CA011,Mercy Air Service,Air 05 - McClellan Palomar Airport,CA,Carlsbad,92008,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 06 - Gillespie Airport,CA,El Cajon,92020,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 04 - Fullerton Base,CA,Fullerton,92833,Helipad,1,,,
RW,CA011,Mercy Air Service,Air 03 - Hemet - Ryan Airport,CA,Hemet,92545,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 22 - Hesperia Airport,CA,Hesperia,92345,Airport,1,,N,
RW,CA011,Mercy Air Service,Air 20 - Fort Hunter Liggett,CA,Jolon,93928,Helipad,1,,,
RW,CA011,Mercy Air Service,Air 32 - Merced Airport,CA,Merced,95340,Airport,1,,N,
RW,CA011,Mercy Air Service,Air 31 - Memorial Medical Center,CA,Modesto,95355,Hospital,1,,,
RW,CA011,Mercy Air Service,Air 14 - Mojave Airport,CA,Mojave,93501,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 18 - Thermal Airport,CA,Palm Springs,92274,Airport,1,,Y,
RW,CA011,Mercy Air Service,Air 26 - Montgomery Field,CA,San Diego,92123,Airport,1,2,Y,
